Time (s),A-output,B-output
0.000000,-0.065555,-0.011102
0.005000,-0.062015,0.000170
0.010000,-0.057541,0.022938
0.015000,-0.056035,0.042665
0.020000,-0.053225,0.026492
0.025000,-0.053185,0.008555
0.030000,-0.047976,0.009633
0.035000,-0.042687,0.032007
0.040000,-0.040529,0.046093
0.045000,-0.043700,0.036107
0.050000,-0.044027,0.025186
0.055000,-0.036758,0.014194
0.060000,-0.034047,0.023905
0.065000,-0.026980,0.030610
0.070000,-0.024778,0.023293
0.075000,-0.025064,0.023072
0.080000,-0.023197,0.010465
0.085000,-0.024897,0.011392
0.090000,-0.019069,0.028378
0.095000,-0.016256,0.039390
0.100000,-0.014014,0.040409
0.105000,-0.005394,0.023734
0.110000,-0.000168,0.018180
0.115000,0.004173,0.027072
0.120000,0.005882,0.019228
0.125000,0.004149,0.011547
0.130000,0.005396,0.024595
0.135000,0.009132,0.040209
0.140000,0.014397,0.039839
0.145000,0.020488,0.041056
0.150000,0.020025,0.042440
0.155000,0.016625,0.035376
0.160000,0.013921,0.017557
0.165000,0.010096,0.003952
0.170000,0.008503,0.007235
0.175000,0.006485,0.012278
0.180000,0.005611,0.018669
0.185000,0.012934,0.026888
0.190000,0.021624,0.066417
0.195000,0.028329,0.120947
0.200000,0.035529,0.135563
0.205000,0.037773,0.100927
0.210000,0.040864,0.074885
0.215000,0.039470,0.073751
0.220000,0.029180,0.077392
0.225000,0.024558,0.065854
0.230000,0.018299,0.022162
0.235000,0.013013,0.020492
0.240000,0.008087,0.039542
0.245000,-0.006946,0.041783
0.250000,-0.021120,0.051771
0.255000,-0.042019,0.052139
0.260000,-0.053393,0.047087
0.265000,-0.049071,0.053631
0.270000,-0.046657,0.058744
0.275000,-0.037352,0.047517
0.280000,-0.030289,0.028601
0.285000,-0.037683,0.030895
0.290000,-0.047394,0.039409
0.295000,-0.057229,0.021472
0.300000,-0.067677,0.019495
0.305000,-0.076367,0.031738
0.310000,-0.086814,0.036705
0.315000,-0.093363,0.053641
0.320000,-0.088994,0.050328
0.325000,-0.080741,0.026593
0.330000,-0.080213,0.021695
0.335000,-0.082132,0.023133
0.340000,-0.082751,0.029790
0.345000,-0.076512,0.014331
0.350000,-0.070836,-0.015111
0.355000,-0.074850,0.022244
0.360000,-0.069039,0.051897
0.365000,-0.056424,0.024577
0.370000,-0.057871,0.001420
0.375000,-0.061956,0.010665
0.380000,-0.061482,0.033928
0.385000,-0.054995,0.009507
0.390000,-0.043740,-0.029014
0.395000,-0.035923,-0.025950
0.400000,-0.021697,-0.007798
0.405000,-0.005715,0.003033
0.410000,0.007143,-0.007130
0.415000,0.014528,-0.010885
0.420000,0.010163,0.007628
0.425000,0.012742,0.005398
0.430000,0.018648,0.002635
0.435000,0.019892,-0.008763
0.440000,0.028145,-0.012958
0.445000,0.040616,0.012282
0.450000,0.051796,0.016191
0.455000,0.060184,0.018884
0.460000,0.066246,0.026744
0.465000,0.071812,0.012589
0.470000,0.077861,-0.009387
0.475000,0.087585,-0.028690
0.480000,0.095305,-0.028045
0.485000,0.098373,-0.018027
0.490000,0.104667,-0.028906
0.495000,0.108527,-0.019677
0.500000,0.111814,0.010964
0.505000,0.110857,0.012722
0.510000,0.104082,-0.003461
0.515000,0.100115,-0.008316
0.520000,0.096004,0.006597
0.525000,0.093952,0.018913
0.530000,0.089048,0.007094
0.535000,0.085998,-0.001386
0.540000,0.087488,0.004010
0.545000,0.084252,-0.001866
0.550000,0.077784,-0.016910
0.555000,0.068542,-0.020357
0.560000,0.057922,-0.014886
0.565000,0.050840,-0.013541
0.570000,0.047757,-0.010035
0.575000,0.044584,-0.006621
0.580000,0.035117,-0.008269
0.585000,0.023831,-0.001250
0.590000,0.013106,0.008400
0.595000,0.001948,0.004274
0.600000,-0.007036,-0.014738
0.605000,-0.013119,-0.023168
0.610000,-0.014993,-0.006069
0.615000,-0.019709,0.000559
0.620000,-0.022174,-0.018507
0.625000,-0.022182,-0.025874
0.630000,-0.031125,-0.027364
0.635000,-0.046326,-0.074414
0.640000,-0.061580,-0.112788
0.645000,-0.073992,-0.085118
0.650000,-0.079541,-0.067885
0.655000,-0.072225,-0.053635
0.660000,-0.057378,-0.039272
0.665000,-0.060914,-0.059179
0.670000,-0.056607,-0.041211
0.675000,-0.044426,-0.027051
0.680000,-0.048076,-0.046054
0.685000,-0.043899,-0.035298
0.690000,-0.040037,-0.009301
0.695000,-0.031134,-0.023585
0.700000,-0.010846,-0.018896
0.705000,-0.003376,0.006488
0.710000,-0.000972,-0.027268
0.715000,0.001241,-0.049762
0.720000,-0.008830,-0.034467
0.725000,-0.011985,-0.023252
0.730000,-0.003938,-0.047627
0.735000,0.004764,-0.082878
0.740000,0.020201,-0.060604
0.745000,0.036853,-0.059503
0.750000,0.052075,-0.098724
0.755000,0.064897,-0.071825
0.760000,0.070824,-0.035092
0.765000,0.076322,-0.065494
0.770000,0.083168,-0.069120
0.775000,0.084829,-0.023982
0.780000,0.091774,-0.026531
0.785000,0.088048,-0.062458
0.790000,0.079485,-0.046713
0.795000,0.086451,-0.010838
0.800000,0.081330,-0.013390
0.805000,0.070800,-0.025929
0.810000,0.064586,-0.009169
0.815000,0.064213,-0.010538
0.820000,0.069020,-0.042999
0.825000,0.068535,-0.019540
0.830000,0.066246,0.015101
0.835000,0.065795,-0.002851
0.840000,0.062825,-0.016324
0.845000,0.057809,-0.004288
0.850000,0.046917,-0.011087
0.855000,0.029661,-0.028531
0.860000,0.019111,-0.011839
0.865000,0.011155,0.014819
0.870000,0.000568,0.002341
0.875000,-0.004956,-0.030051
0.880000,-0.008128,-0.017705
0.885000,-0.010469,-0.026851
0.890000,-0.010856,-0.070100
0.895000,-0.027733,-0.052358
0.900000,-0.047092,-0.006774
0.905000,-0.054472,-0.004871
0.910000,-0.061504,-0.028296
0.915000,-0.059603,-0.020708
0.920000,-0.061812,-0.001777
0.925000,-0.068467,-0.004968
0.930000,-0.074109,-0.007468
0.935000,-0.083504,0.011994
0.940000,-0.093467,0.020788
0.945000,-0.098702,-0.000078
0.950000,-0.098220,-0.008173
0.955000,-0.095766,0.010998
0.960000,-0.089824,0.009457
0.965000,-0.090867,0.004078
0.970000,-0.099479,0.006525
0.975000,-0.106025,0.012198
0.980000,-0.105290,0.025279
0.985000,-0.099671,0.023146
0.990000,-0.097331,0.030704
0.995000,-0.093063,0.047729
1.000000,-0.088916,0.048132
1.005000,-0.086595,0.039781
1.010000,-0.083732,0.033235
1.015000,-0.082351,0.045711
1.020000,-0.076919,0.058165
1.025000,-0.066982,0.048571
1.030000,-0.054157,0.029181
1.035000,-0.042993,0.030775
1.040000,-0.039667,0.046001
1.045000,-0.038873,0.033660
1.050000,-0.030755,0.004774
1.055000,-0.017023,-0.005277
1.060000,-0.008060,0.007864
1.065000,-0.003679,0.023207
1.070000,0.004721,0.047930
1.075000,0.014664,0.080673
1.080000,0.026325,0.063689
1.085000,0.035793,0.032809
1.090000,0.039443,0.034238
1.095000,0.039272,0.030683
1.100000,0.044531,0.044669
1.105000,0.053211,0.055286
1.110000,0.054891,0.050729
1.115000,0.054617,0.038477
1.120000,0.055538,0.024981
1.125000,0.056622,0.053038
1.130000,0.045751,0.070966
1.135000,0.026955,0.042412
1.140000,0.012947,0.025703
1.145000,0.006265,0.023696
1.150000,0.015125,0.008654
1.155000,0.029394,0.023703
1.160000,0.033717,0.041343
1.165000,0.034148,0.026906
1.170000,0.036628,0.019758
1.175000,0.032811,0.033365
1.180000,0.020972,0.039573
