Time (s),A-output,B-output
0.000000,-0.117864,0.059021
0.005000,-0.054306,0.082579
0.010000,-0.031825,0.077731
0.015000,0.021054,0.081388
0.020000,0.030233,0.049608
0.025000,0.040439,0.022894
0.030000,0.113974,0.041459
0.035000,0.155549,0.025573
0.040000,0.139946,-0.005501
0.045000,0.160845,-0.015048
0.050000,0.246073,-0.022738
0.055000,0.312483,-0.059478
0.060000,0.325364,-0.089288
0.065000,0.314896,-0.084638
0.070000,0.282390,-0.075015
0.075000,0.284508,-0.080150
0.080000,0.284001,-0.108287
0.085000,0.254818,-0.131996
0.090000,0.227131,-0.108382
0.095000,0.154748,-0.090651
0.100000,0.129712,-0.086994
0.105000,0.109511,-0.063862
0.110000,0.014221,-0.056008
0.115000,-0.041586,-0.025241
0.120000,-0.100180,-0.009411
0.125000,-0.153639,-0.019566
0.130000,-0.155976,-0.009923
0.135000,-0.191779,-0.015984
0.140000,-0.229218,-0.016919
0.145000,-0.245797,0.004717
0.150000,-0.267442,-0.001854
0.155000,-0.279203,-0.017830
0.160000,-0.284632,-0.018591
0.165000,-0.296593,-0.005996
0.170000,-0.295181,0.003686
0.175000,-0.276797,0.008475
0.180000,-0.262132,0.022189
0.185000,-0.235817,0.024025
0.190000,-0.199828,0.039822
0.195000,-0.174980,0.053851
0.200000,-0.140113,0.049092
0.205000,-0.095601,0.055494
0.210000,-0.064417,0.057811
0.215000,-0.023469,0.054211
0.220000,0.014967,0.043398
0.225000,0.030617,0.037390
0.230000,0.055027,0.027915
0.235000,0.088066,-0.006912
0.240000,0.113632,-0.036258
0.245000,0.114682,-0.043139
0.250000,0.104799,-0.050171
0.255000,0.118073,-0.046899
0.260000,0.150305,0.042793
0.265000,0.208294,0.023171
0.270000,0.257431,-0.079480
0.275000,0.234367,-0.032880
0.280000,0.124493,-0.006743
0.285000,0.055162,-0.027511
0.290000,0.050599,0.015964
0.295000,-0.023151,0.036454
0.300000,-0.071438,0.025657
0.305000,-0.084661,0.050511
0.310000,-0.173352,0.071063
0.315000,-0.192255,0.096816
0.320000,-0.149544,0.120852
0.325000,-0.220877,0.103008
0.330000,-0.303485,0.116428
0.335000,-0.328604,0.162362
0.340000,-0.350952,0.149400
0.345000,-0.325909,0.163153
0.350000,-0.291974,0.189358
0.355000,-0.292192,0.124500
0.360000,-0.269159,0.114925
0.365000,-0.265025,0.138717
0.370000,-0.234098,0.087225
0.375000,-0.164268,0.088062
0.380000,-0.139600,0.106970
0.385000,-0.080749,0.089932
0.390000,-0.015761,0.106359
0.395000,0.023199,0.102947
0.400000,0.100080,0.091416
0.405000,0.140495,0.120386
0.410000,0.152593,0.089926
0.415000,0.193426,0.054050
0.420000,0.231627,0.066476
0.425000,0.279242,0.020143
0.430000,0.308753,0.000477
0.435000,0.300333,0.013684
0.440000,0.307071,-0.023997
0.445000,0.321667,-0.045993
0.450000,0.310576,-0.047436
0.455000,0.302153,-0.051280
0.460000,0.277734,-0.068588
0.465000,0.232117,-0.071941
0.470000,0.215870,-0.051454
0.475000,0.196619,-0.046175
0.480000,0.160114,-0.044766
0.485000,0.120692,-0.059596
0.490000,0.064309,-0.068231
0.495000,0.023791,-0.050428
0.500000,-0.002615,-0.041727
0.505000,-0.034322,-0.032481
0.510000,-0.053334,-0.009286
0.515000,-0.083396,-0.000442
0.520000,-0.124002,-0.006174
0.525000,-0.151512,-0.004469
0.530000,-0.171824,-0.006941
0.535000,-0.190696,-0.041164
0.540000,-0.236610,-0.024231
0.545000,-0.283966,0.037555
0.550000,-0.269528,0.040079
0.555000,-0.170408,0.060258
0.560000,-0.104310,0.090244
0.565000,-0.081953,0.076092
