Time (s),A-output,B-output
0,0.036996,-0.046665
0.005,0.028213,-0.033824
0.01,0.029929,-0.026665
0.015,0.0251,-0.031194
0.02,0.015186,-0.018963
0.025,0.019382,-0.006278
0.03,0.026353,-0.004106
0.035,0.011197,-0.007228
0.04,0.003432,-0.003055
0.045,0.009487,-0.021747
0.05,-0.001862,-0.024627
0.055,-0.019726,-0.012862
0.06,-0.024943,-0.016313
0.065,-0.020122,-0.010069
0.07,-0.023989,-0.011103
0.075,-0.029408,-0.020025
0.08,-0.025154,-0.019785
0.085,-0.032369,-0.018106
0.09,-0.042061,-0.023877
0.095,-0.033301,-0.025726
0.1,-0.026993,-0.024078
0.105,-0.037771,-0.013616
0.11,-0.043082,0.001705
0.115,-0.029179,0.00271
0.12,-0.012613,-0.007392
0.125,-0.010013,-0.009616
0.13,-0.011437,-0.011902
0.135,-0.005173,-0.022267
0.14,0.000106,-0.031043
0.145,0.002892,-0.034722
0.15,0.011894,-0.036737
0.155,0.016145,-0.035625
0.16,0.009353,-0.031634
0.165,0.016253,-0.031564
0.17,0.036563,-0.034637
0.175,0.03799,-0.038228
0.18,0.026889,-0.029449
0.185,0.019695,-0.024015
0.19,0.021444,-0.022972
0.195,0.025992,-0.019678
0.2,0.021037,-0.020128
0.205,0.017548,-0.017429
0.21,0.013928,-0.013889
0.215,0.009967,-0.020997
0.22,0.01748,-0.02124
0.225,0.024994,-0.020761
0.23,0.015015,-0.034838
0.235,-0.001937,-0.033103
0.24,-0.004415,-0.025403
0.245,-0.000412,-0.03007
0.25,-0.002946,-0.034472
0.255,-0.009427,-0.021686
0.26,-0.015844,-0.015214
0.265,-0.019126,-0.016997
0.27,-0.023804,-0.00575
0.275,-0.02514,0.005463
0.28,-0.021773,0.006728
0.285,-0.028646,0.008742
0.29,-0.040252,0.004467
0.295,-0.035437,-0.003963
0.3,-0.027683,-0.005431
0.305,-0.034151,-0.002674
0.31,-0.034942,-0.005087
0.315,-0.028903,0.000027
0.32,-0.027132,0.001843
0.325,-0.024578,-0.006429
0.33,-0.018731,-0.006541
0.335,-0.011159,-0.001803
0.34,-0.004923,-0.00387
0.345,-0.004267,0.004504
0.35,-0.003431,0.014888
0.355,0.004156,0.00846
0.36,0.007381,0.006317
0.365,0.00569,0.012113
0.37,0.011391,0.011902
0.375,0.014582,0.007135
0.38,0.015408,0.00985
0.385,0.019643,0.006404
0.39,0.021616,0.002258
0.395,0.023567,0.001075
0.4,0.021782,-0.002479
0.405,0.020781,-0.006731
0.41,0.021875,-0.004267
0.415,0.017343,-0.01146
0.42,0.00836,-0.017578
