Time (s),A-output,B-output
0.000000,0.084561,-0.052360
0.005000,0.083012,0.064533
0.010000,0.074838,0.122993
0.015000,0.052141,0.086271
0.020000,0.036719,-0.013323
0.025000,0.009551,-0.063465
0.030000,-0.018865,-0.090827
0.035000,-0.036092,-0.090268
0.040000,-0.042389,-0.018943
0.045000,-0.030798,0.068786
0.050000,-0.029687,0.101098
0.055000,-0.020319,0.097872
0.060000,-0.018465,0.136290
0.065000,-0.027541,0.127146
0.070000,-0.029566,0.036752
0.075000,-0.054949,0.010833
0.080000,-0.084485,0.033456
0.085000,-0.098119,0.024783
0.090000,-0.096467,0.047363
0.095000,-0.086649,0.091962
0.100000,-0.101330,0.136217
0.105000,-0.103449,0.142800
0.110000,-0.124624,0.086265
0.115000,-0.145863,0.040236
0.120000,-0.135979,0.048742
0.125000,-0.142004,0.082372
0.130000,-0.141954,0.090248
0.135000,-0.145973,0.069360
0.140000,-0.142830,0.052551
0.145000,-0.152735,0.048432
0.150000,-0.161913,0.050626
0.155000,-0.156215,0.041491
0.160000,-0.151750,0.011856
0.165000,-0.140718,-0.018678
0.170000,-0.160559,-0.044884
0.175000,-0.166174,-0.016652
0.180000,-0.147963,0.116628
0.185000,-0.135446,0.189041
0.190000,-0.094201,0.119031
0.195000,-0.062922,0.120467
0.200000,-0.080639,0.125446
0.205000,-0.094475,0.103442
0.210000,-0.098886,0.122752
0.215000,-0.109273,0.088752
0.220000,-0.103582,0.061024
0.225000,-0.085962,0.006631
0.230000,-0.071345,-0.026510
0.235000,-0.079108,0.060376
0.240000,-0.105728,0.090417
0.245000,-0.126139,0.063064
0.250000,-0.129616,0.062931
0.255000,-0.110196,0.047416
0.260000,-0.076580,0.055182
0.265000,-0.041424,-0.000273
0.270000,-0.019267,-0.047068
0.275000,-0.009188,-0.035931
0.280000,-0.007108,-0.033870
0.285000,-0.010224,0.010497
0.290000,-0.021478,0.028421
0.295000,-0.030124,0.008043
0.300000,-0.031869,-0.027140
0.305000,-0.036087,-0.072057
0.310000,-0.021430,-0.093869
0.315000,-0.011435,-0.123565
0.320000,-0.001838,-0.103402
0.325000,0.008203,-0.052364
0.330000,0.012825,-0.052534
0.335000,0.040505,-0.064261
0.340000,0.056116,-0.058699
0.345000,0.081926,-0.037955
0.350000,0.109379,-0.050946
0.355000,0.112799,-0.084517
0.360000,0.132365,-0.076451
0.365000,0.138053,-0.059566
0.370000,0.137336,-0.044623
0.375000,0.147635,-0.032771
0.380000,0.140925,-0.045380
0.385000,0.138249,-0.054710
0.390000,0.146376,-0.062207
0.395000,0.160741,-0.050519
0.400000,0.177624,-0.002624
0.405000,0.190875,0.013776
0.410000,0.200476,-0.013082
0.415000,0.208683,-0.038207
0.420000,0.219620,-0.032239
0.425000,0.217915,-0.023399
0.430000,0.200059,0.001261
0.435000,0.177241,0.076410
0.440000,0.144489,0.067896
0.445000,0.125128,0.021414
0.450000,0.123156,0.006312
0.455000,0.131314,-0.045238
0.460000,0.133040,-0.033142
0.465000,0.115421,-0.006808
0.470000,0.119861,0.020820
0.475000,0.111099,0.088875
0.480000,0.090208,0.078791
0.485000,0.078690,0.018977
0.490000,0.081201,-0.100614
0.495000,0.095388,-0.210820
0.500000,0.098460,-0.167101
0.505000,0.100545,-0.077383
0.510000,0.091428,0.025150
0.515000,0.066082,0.120225
0.520000,0.043867,0.086724
0.525000,0.024627,0.031253
0.530000,0.002828,-0.045922
0.535000,-0.015508,-0.112688
0.540000,-0.024328,-0.094421
0.545000,-0.020789,-0.063111
0.550000,-0.022511,-0.036056
0.555000,-0.013763,-0.000336
0.560000,-0.017818,0.089779
0.565000,-0.039911,0.159250
0.570000,-0.051627,0.137462
0.575000,-0.071522,0.092751
0.580000,-0.090353,0.029527
0.585000,-0.109560,-0.026923
0.590000,-0.113767,0.006509
0.595000,-0.105017,0.054167
0.600000,-0.125596,0.089534
0.605000,-0.132099,0.115202
0.610000,-0.142567,0.102659
0.615000,-0.161403,0.084826
0.620000,-0.146886,0.079683
0.625000,-0.151506,0.079193
0.630000,-0.160090,0.091549
0.635000,-0.174564,0.104335
0.640000,-0.174733,0.083793
0.645000,-0.166458,0.066268
0.650000,-0.177912,0.071067
0.655000,-0.140405,0.057511
0.660000,-0.141619,0.019577
0.665000,-0.174032,-0.007242
0.670000,-0.168728,-0.018891
0.675000,-0.171513,0.055794
0.680000,-0.150739,0.220358
0.685000,-0.135430,0.288511
0.690000,-0.105604,0.180049
0.695000,-0.065008,0.091591
0.700000,-0.079117,0.079497
0.705000,-0.094751,0.069126
0.710000,-0.089532,0.073013
0.715000,-0.102892,0.063109
0.720000,-0.103373,0.061641
0.725000,-0.082499,0.045260
0.730000,-0.071036,0.021881
0.735000,-0.072461,0.016113
0.740000,-0.100732,-0.026517
0.745000,-0.113784,-0.027017
0.750000,-0.114739,0.005672
0.755000,-0.095830,0.021637
0.760000,-0.064015,0.081296
0.765000,-0.036803,0.066407
0.770000,-0.009962,0.010607
0.775000,0.004940,-0.012164
0.780000,0.011691,-0.074846
0.785000,0.012177,-0.068928
0.790000,0.003741,-0.028586
0.795000,-0.011085,-0.013952
0.800000,-0.010271,0.019030
0.805000,-0.017315,-0.010826
0.810000,-0.017939,-0.010666
0.815000,-0.012962,-0.005690
0.820000,-0.004332,-0.064224
0.825000,0.009681,-0.069524
0.830000,0.018330,-0.068193
0.835000,0.046992,-0.069041
0.840000,0.068978,-0.047084
0.845000,0.087530,-0.043818
0.850000,0.114643,-0.044126
0.855000,0.121103,-0.055287
0.860000,0.138135,-0.104831
0.865000,0.148873,-0.138024
0.870000,0.143828,-0.127053
0.875000,0.145124,-0.102201
0.880000,0.136457,-0.099574
0.885000,0.135615,-0.115062
0.890000,0.144125,-0.114889
0.895000,0.155089,-0.102026
0.900000,0.170064,-0.063921
0.905000,0.178887,-0.021575
0.910000,0.186686,-0.013027
0.915000,0.196212,-0.027637
0.920000,0.205854,-0.029554
0.925000,0.204599,-0.036272
0.930000,0.170442,-0.084186
0.935000,0.150176,-0.052768
0.940000,0.136018,-0.026918
0.945000,0.127032,-0.042285
0.950000,0.119345,0.032754
0.955000,0.120118,0.015275
0.960000,0.117145,-0.055963
0.965000,0.101034,-0.085753
0.970000,0.113064,-0.094508
0.975000,0.102725,-0.013578
0.980000,0.083843,0.062562
0.985000,0.072308,0.103566
0.990000,0.075803,0.099593
0.995000,0.093437,-0.009807
1.000000,0.095308,-0.102822
1.005000,0.094642,-0.168943
1.010000,0.094961,-0.155644
1.015000,0.071639,-0.014687
1.020000,0.046754,0.071968
1.025000,0.021670,0.111920
1.030000,-0.010404,0.147283
1.035000,-0.029351,0.116787
1.040000,-0.038499,0.020324
1.045000,-0.027858,-0.037654
1.050000,-0.023122,-0.045191
1.055000,-0.019720,-0.082012
1.060000,-0.018959,-0.044067
1.065000,-0.032831,0.062897
1.070000,-0.041358,0.106331
1.075000,-0.058300,0.113226
1.080000,-0.082884,0.108950
1.085000,-0.095175,0.066619
1.090000,-0.092618,0.028130
1.095000,-0.087877,0.030742
1.100000,-0.104915,0.053012
1.105000,-0.114801,0.081767
1.110000,-0.129591,0.111721
1.115000,-0.159343,0.122981
1.120000,-0.153810,0.146022
1.125000,-0.154495,0.171827
