Time (s),A-output,B-output
0.000000,-0.028841,0.075301
0.005000,-0.032664,0.047828
0.010000,-0.045938,-0.008739
0.015000,-0.052813,-0.058355
0.020000,-0.045140,-0.049548
0.025000,-0.043899,0.007965
0.030000,-0.050602,0.031650
0.035000,-0.038346,0.059048
0.040000,-0.044178,0.092917
0.045000,-0.063401,0.066830
0.050000,-0.069287,0.031082
0.055000,-0.072633,-0.002366
0.060000,-0.065664,-0.045297
0.065000,-0.040135,-0.042318
0.070000,-0.015757,-0.021560
0.075000,0.007727,-0.032324
0.080000,0.029866,0.004782
0.085000,0.026082,0.067937
0.090000,0.006875,0.075575
0.095000,-0.004972,0.062986
0.100000,-0.017746,0.054429
0.105000,-0.035751,0.006369
0.110000,-0.027745,-0.041237
0.115000,-0.017071,-0.061495
0.120000,-0.021383,-0.068597
0.125000,-0.004541,-0.049217
0.130000,0.001616,-0.026835
0.135000,-0.011883,-0.007239
0.140000,-0.002170,0.007759
0.145000,0.008063,0.029590
0.150000,0.014418,0.031033
0.155000,0.037093,0.004197
0.160000,0.048810,-0.042345
0.165000,0.048212,-0.078536
0.170000,0.053858,-0.093698
0.175000,0.057326,-0.075605
0.180000,0.056123,-0.055731
0.185000,0.049958,-0.058047
0.190000,0.050802,-0.033275
0.195000,0.051763,-0.029351
0.200000,0.052101,-0.029721
0.205000,0.057754,-0.030568
0.210000,0.064941,-0.047798
0.215000,0.074690,-0.044208
0.220000,0.080352,-0.052811
0.225000,0.087172,-0.069941
0.230000,0.095148,-0.074721
0.235000,0.095676,-0.071875
0.240000,0.093005,-0.061879
0.245000,0.094766,-0.047281
0.250000,0.095154,-0.031892
0.255000,0.097691,-0.030630
0.260000,0.096802,-0.032869
0.265000,0.093380,-0.006825
0.270000,0.093637,0.012520
0.275000,0.091549,0.000130
0.280000,0.092320,0.000020
0.285000,0.089121,0.015799
0.290000,0.078782,-0.046171
0.295000,0.061301,-0.165330
0.300000,0.048435,-0.157844
0.305000,0.038660,-0.069516
0.310000,0.022120,-0.056190
0.315000,0.021727,-0.046818
0.320000,0.034698,-0.045893
0.325000,0.029856,-0.060155
0.330000,0.019043,-0.058887
0.335000,0.015145,-0.082163
0.340000,0.010167,-0.050240
0.345000,0.012760,-0.018040
0.350000,0.021472,-0.039867
0.355000,0.034034,-0.020271
0.360000,0.059235,0.016263
0.365000,0.067854,0.037075
0.370000,0.068874,0.042230
0.375000,0.072603,0.034128
0.380000,0.055682,0.045185
0.385000,0.046060,0.026017
0.390000,0.026794,0.005969
0.395000,0.005787,-0.005145
0.400000,0.005834,-0.028501
0.405000,0.014148,-0.031942
0.410000,0.025718,0.004200
0.415000,0.041105,0.046934
0.420000,0.040780,0.042429
0.425000,0.035339,0.031285
0.430000,0.035661,0.035703
0.435000,0.032927,0.057478
0.440000,0.028782,0.078258
0.445000,0.026444,0.073832
0.450000,0.021955,0.060913
0.455000,0.013106,0.068860
0.460000,0.011034,0.073958
0.465000,0.004735,0.057005
0.470000,-0.009844,0.054547
0.475000,-0.020711,0.051752
0.480000,-0.034668,0.049812
0.485000,-0.050477,0.054445
0.490000,-0.047159,0.041914
0.495000,-0.042115,0.033877
0.500000,-0.043571,0.048947
0.505000,-0.046224,0.070016
0.510000,-0.046772,0.074799
0.515000,-0.044972,0.068662
0.520000,-0.046418,0.062289
0.525000,-0.060283,0.043004
0.530000,-0.068568,0.022679
0.535000,-0.071645,0.030501
0.540000,-0.075562,0.049452
0.545000,-0.081892,0.050904
0.550000,-0.092418,0.039988
0.555000,-0.101853,0.030439
0.560000,-0.119476,0.042994
0.565000,-0.115545,0.050834
0.570000,-0.111978,0.039513
0.575000,-0.117212,0.016215
0.580000,-0.116147,-0.003684
0.585000,-0.123626,0.008719
0.590000,-0.126387,0.015629
0.595000,-0.116998,0.002739
0.600000,-0.107787,-0.004323
0.605000,-0.103281,0.056027
0.610000,-0.093465,0.188298
0.615000,-0.075821,0.227806
0.620000,-0.046963,0.152822
0.625000,-0.026347,0.133504
0.630000,-0.039582,0.123096
0.635000,-0.051568,0.074938
