Time (s),A-output,B-output
0.000000,-0.066342,0.020119
0.005000,0.012224,0.029919
0.010000,0.088848,0.019159
0.015000,0.104835,0.004113
0.020000,0.060498,0.028862
0.025000,0.020304,0.019902
0.030000,0.024795,-0.003286
0.035000,0.036014,0.000524
0.040000,0.045116,0.003903
0.045000,0.121242,0.017869
0.050000,0.235185,0.008208
0.055000,0.268124,0.033694
0.060000,0.266414,0.053835
0.065000,0.281436,-0.003430
0.070000,0.263114,-0.035011
0.075000,0.189880,-0.039592
0.080000,0.129288,-0.041517
0.085000,0.150608,-0.047698
0.090000,0.204467,-0.033648
0.095000,0.210167,-0.002278
0.100000,0.216797,0.001368
0.105000,0.254473,-0.006349
0.110000,0.248546,-0.036183
0.115000,0.179757,-0.061581
0.120000,0.099155,-0.075015
0.125000,0.050404,-0.067573
0.130000,0.009161,-0.034512
0.135000,-0.012769,-0.017074
0.140000,-0.010972,-0.004595
0.145000,0.015872,-0.003992
0.150000,0.034825,-0.007796
0.155000,0.014235,0.013404
0.160000,-0.045393,0.027218
0.165000,-0.104184,0.031281
0.170000,-0.146242,0.037686
0.175000,-0.195785,0.056058
0.180000,-0.246989,0.120310
0.185000,-0.244239,0.151891
0.190000,-0.195116,0.118102
0.195000,-0.149901,0.111921
0.200000,-0.136248,0.113479
0.205000,-0.161014,0.102941
0.210000,-0.197267,0.104481
0.215000,-0.251244,0.096239
0.220000,-0.298623,0.091457
0.225000,-0.323910,0.092602
0.230000,-0.312044,0.083869
0.235000,-0.263617,0.077006
0.240000,-0.216194,0.076646
0.245000,-0.167846,0.078795
0.250000,-0.126829,0.081463
0.255000,-0.112893,0.077177
0.260000,-0.134960,0.062127
0.265000,-0.154222,0.056979
0.270000,-0.154783,0.063233
0.275000,-0.142279,0.067276
0.280000,-0.104791,0.063935
0.285000,-0.038538,0.059710
0.290000,0.038289,0.059269
0.295000,0.095887,0.056843
0.300000,0.115947,0.063665
0.305000,0.116486,0.044402
0.310000,0.110690,0.007984
0.315000,0.122052,0.007805
0.320000,0.107113,0.001154
0.325000,0.098785,0.000270
0.330000,0.146017,-0.030963
0.335000,0.201278,-0.076891
0.340000,0.206304,-0.058723
0.345000,0.170707,-0.030560
0.350000,0.169853,-0.035565
0.355000,0.222117,-0.050477
0.360000,0.231525,-0.056700
0.365000,0.301942,-0.012262
0.370000,0.398576,0.001519
0.375000,0.352236,-0.025891
0.380000,0.308879,0.027362
0.385000,0.237534,0.059572
0.390000,0.118095,0.023596
0.395000,0.053693,0.007759
0.400000,-0.005407,-0.003368
0.405000,-0.033649,-0.001208
0.410000,0.004667,0.004721
0.415000,0.035814,-0.013972
0.420000,0.067339,-0.006381
0.425000,0.047566,0.023586
0.430000,-0.039180,0.027426
0.435000,-0.118947,0.011933
0.440000,-0.180390,-0.020540
0.445000,-0.243325,-0.033538
0.450000,-0.316253,0.004526
0.455000,-0.283821,-0.016516
0.460000,-0.176635,-0.060410
0.465000,-0.172554,-0.046366
0.470000,-0.209045,-0.021079
0.475000,-0.178008,-0.030737
0.480000,-0.173604,-0.055594
0.485000,-0.273371,-0.024952
0.490000,-0.358853,0.005443
0.495000,-0.322827,-0.012446
0.500000,-0.260037,-0.020802
0.505000,-0.249835,-0.013635
0.510000,-0.190141,-0.025392
0.515000,-0.090742,-0.039428
0.520000,-0.055344,-0.045164
0.525000,-0.061992,-0.031677
0.530000,-0.073441,-0.030881
0.535000,-0.094326,-0.065499
0.540000,-0.092972,-0.084341
0.545000,-0.071690,-0.077293
0.550000,-0.040963,-0.055697
0.555000,0.027989,-0.045820
0.560000,0.121665,-0.043465
0.565000,0.190377,-0.029498
0.570000,0.206385,-0.020000
0.575000,0.197520,-0.032848
0.580000,0.206217,-0.057480
0.585000,0.187527,-0.064658
0.590000,0.152217,-0.048559
0.595000,0.164016,-0.030975
0.600000,0.213506,-0.033673
0.605000,0.269365,-0.051648
0.610000,0.304081,-0.052103
0.615000,0.314716,-0.045734
0.620000,0.320499,-0.049336
0.625000,0.309145,-0.049300
0.630000,0.253978,-0.043035
0.635000,0.192977,-0.043247
0.640000,0.177375,-0.050692
0.645000,0.184648,-0.067616
0.650000,0.175523,-0.077240
0.655000,0.178598,-0.061815
0.660000,0.203556,-0.039437
0.665000,0.199730,-0.025497
0.670000,0.153615,-0.026396
0.675000,0.098520,-0.031807
0.680000,0.052043,-0.022165
0.685000,-0.000113,-0.013029
0.690000,-0.040186,-0.015350
0.695000,-0.044721,-0.007116
0.700000,-0.045405,0.009371
0.705000,-0.053724,0.014973
0.710000,-0.062821,0.011822
0.715000,-0.084161,-0.045394
0.720000,-0.097804,-0.104940
0.725000,-0.134004,-0.093736
0.730000,-0.249879,-0.099614
0.735000,-0.333671,-0.104734
0.740000,-0.313994,-0.093117
0.745000,-0.247941,-0.092747
0.750000,-0.173453,-0.056181
0.755000,-0.116987,0.001392
0.760000,-0.095127,0.019427
0.765000,-0.096103,0.001969
0.770000,-0.123390,-0.011749
0.775000,-0.194154,0.008459
0.780000,-0.252508,0.029802
0.785000,-0.254010,0.013614
0.790000,-0.195162,0.013273
0.795000,-0.129617,0.039635
0.800000,-0.056733,0.032726
0.805000,0.037510,0.022953
0.810000,0.090635,0.028484
0.815000,0.069169,0.012240
0.820000,0.029389,-0.009771
0.825000,0.011801,-0.020887
0.830000,0.015255,-0.029538
0.835000,0.027495,-0.022012
0.840000,0.065459,-0.001213
0.845000,0.149330,-0.000283
0.850000,0.237422,-0.008738
0.855000,0.268898,-0.047853
0.860000,0.265165,-0.073528
0.865000,0.244656,-0.086587
0.870000,0.220752,-0.089483
0.875000,0.166637,-0.050662
0.880000,0.113064,-0.044978
0.885000,0.141993,-0.042849
0.890000,0.199316,-0.021966
0.895000,0.196996,-0.040817
0.900000,0.201296,-0.059161
0.905000,0.247978,-0.059879
0.910000,0.226921,-0.024771
0.915000,0.130801,0.018082
0.920000,0.060976,0.029657
0.925000,0.041356,0.036050
0.930000,-0.009906,0.036502
0.935000,-0.040114,0.037013
0.940000,-0.003579,0.023334
0.945000,0.036615,0.020317
0.950000,0.030870,0.026420
0.955000,0.003750,0.039236
0.960000,-0.039316,0.073928
0.965000,-0.100378,0.083293
0.970000,-0.145015,0.085622
0.975000,-0.189960,0.078821
0.980000,-0.237924,0.079353
0.985000,-0.235298,0.069123
0.990000,-0.178874,0.036790
0.995000,-0.139325,0.047848
1.000000,-0.150735,0.073922
1.005000,-0.176659,0.085467
1.010000,-0.197457,0.069876
1.015000,-0.253125,0.036007
1.020000,-0.322268,0.015925
1.025000,-0.333805,0.016105
1.030000,-0.289036,0.015692
1.035000,-0.243338,0.030849
1.040000,-0.211339,0.042826
1.045000,-0.153422,0.041961
1.050000,-0.119921,0.036657
1.055000,-0.136713,0.039486
1.060000,-0.164483,0.037195
1.065000,-0.168051,0.045972
1.070000,-0.162684,0.068757
1.075000,-0.146843,0.069800
1.080000,-0.093395,0.070536
1.085000,-0.019129,0.057807
1.090000,0.051875,0.041434
1.095000,0.093251,0.048474
1.100000,0.109241,0.073035
1.105000,0.107917,0.084539
1.110000,0.113763,0.096640
1.115000,0.124440,0.081305
1.120000,0.097917,0.045805
1.125000,0.103883,0.035324
1.130000,0.165211,-0.006120
1.135000,0.216322,-0.041246
1.140000,0.211230,-0.026846
1.145000,0.177103,-0.018097
1.150000,0.201955,0.064907
1.155000,0.206233,0.163165
1.160000,0.204712,0.153544
1.165000,0.319299,0.132769
1.170000,0.359149,0.078781
1.175000,0.290604,0.027534
1.180000,0.242795,0.033345
1.185000,0.142526,0.001761
1.190000,0.046690,-0.025689
1.195000,0.009397,-0.022701
1.200000,-0.022682,-0.045426
1.205000,-0.004023,-0.019930
1.210000,0.038080,0.010320
1.215000,0.081235,-0.018441
1.220000,0.086567,0.005925
1.225000,0.024885,0.032425
1.230000,-0.053448,-0.006663
1.235000,-0.128699,-0.028248
1.240000,-0.206949,-0.019707
1.245000,-0.275494,0.012415
1.250000,-0.294317,0.013268
1.255000,-0.243494,-0.019080
1.260000,-0.187934,-0.012376
1.265000,-0.178108,-0.011620
1.270000,-0.180315,-0.031946
1.275000,-0.182159,-0.053072
1.280000,-0.209154,-0.061629
1.285000,-0.290429,-0.039350
1.290000,-0.350274,-0.017766
1.295000,-0.313693,-0.023152
1.300000,-0.262756,-0.025890
1.305000,-0.241330,-0.015934
1.310000,-0.167409,-0.023389
1.315000,-0.072740,-0.044451
1.320000,-0.059002,-0.032153
1.325000,-0.085719,-0.015938
1.330000,-0.094005,-0.031046
1.335000,-0.093486,-0.055838
1.340000,-0.093558,-0.062711
1.345000,-0.088715,-0.047276
1.350000,-0.030589,-0.036231
1.355000,0.058114,-0.033637
1.360000,0.142690,-0.029309
1.365000,0.193740,-0.021881
1.370000,0.189967,-0.018359
1.375000,0.185177,-0.029123
1.380000,0.196926,-0.037970
1.385000,0.171831,-0.028244
1.390000,0.147017,-0.015076
1.395000,0.177871,-0.011199
1.400000,0.237699,-0.022949
1.405000,0.283868,-0.035778
1.410000,0.301382,-0.040143
1.415000,0.325502,-0.042440
1.420000,0.332077,-0.053708
1.425000,0.288332,-0.053980
1.430000,0.232193,-0.038025
1.435000,0.195248,-0.037548
1.440000,0.187338,-0.050657
1.445000,0.187464,-0.060098
1.450000,0.182864,-0.056060
1.455000,0.192664,-0.037243
1.460000,0.209732,-0.016485
1.465000,0.189388,-0.004986
1.470000,0.135771,-0.006442
1.475000,0.084959,-0.007391
1.480000,0.034925,-0.012041
1.485000,-0.017544,-0.021298
1.490000,-0.044447,-0.015954
1.495000,-0.041610,-0.011196
1.500000,-0.046869,-0.002620
1.505000,-0.056505,0.012909
1.510000,-0.067126,0.010835
1.515000,-0.112797,-0.029486
1.520000,-0.164012,-0.037187
1.525000,-0.240216,-0.007755
1.530000,-0.344945,-0.012988
1.535000,-0.362965,-0.014667
1.540000,-0.314331,-0.024092
1.545000,-0.267067,-0.026055
1.550000,-0.209091,0.003725
1.555000,-0.155993,0.027837
1.560000,-0.129828,0.052647
1.565000,-0.151886,0.048030
1.570000,-0.197431,0.027417
1.575000,-0.256199,0.025538
1.580000,-0.285435,0.026234
1.585000,-0.247945,0.028950
1.590000,-0.189498,0.010548
1.595000,-0.122657,0.009410
1.600000,-0.045825,0.011298
1.605000,0.049163,-0.004541
1.610000,0.081898,-0.009781
1.615000,0.038354,-0.003680
1.620000,0.007855,0.000063
1.625000,0.015707,-0.016963
1.630000,0.010196,-0.042636
1.635000,-0.000876,-0.032566
1.640000,0.072762,-0.001125
1.645000,0.193394,0.017193
1.650000,0.237724,0.023344
1.655000,0.247282,-0.003204
1.660000,0.270003,-0.041246
1.665000,0.242823,-0.043593
1.670000,0.178160,-0.006076
1.675000,0.123225,0.012780
1.680000,0.132601,-0.007189
1.685000,0.183220,-0.017809
1.690000,0.219678,-0.008365
1.695000,0.230418,-0.006819
1.700000,0.244137,-0.000483
1.705000,0.261787,0.008633
1.710000,0.228511,0.005393
1.715000,0.136298,0.009647
1.720000,0.066060,0.012208
1.725000,0.047763,0.011339
1.730000,0.023162,0.016926
1.735000,-0.001978,0.010187
1.740000,0.019845,-0.020012
1.745000,0.062641,-0.043388
1.750000,0.052256,-0.044637
1.755000,-0.003046,-0.025967
1.760000,-0.059250,-0.011486
1.765000,-0.112737,-0.013027
1.770000,-0.168021,0.001933
1.775000,-0.225557,0.011703
1.780000,-0.240894,0.015311
1.785000,-0.213030,0.007342
1.790000,-0.163613,0.004642
1.795000,-0.131733,0.019026
1.800000,-0.154439,0.022981
1.805000,-0.191072,0.039013
1.810000,-0.227241,0.045214
1.815000,-0.271430,0.044138
1.820000,-0.324012,0.044377
1.825000,-0.325811,0.050780
1.830000,-0.270836,0.063404
1.835000,-0.219024,0.061365
1.840000,-0.185528,0.060958
1.845000,-0.138754,0.066876
1.850000,-0.108363,0.063768
1.855000,-0.125342,0.056244
1.860000,-0.157825,0.046392
1.865000,-0.168057,0.055455
1.870000,-0.153280,0.079609
1.875000,-0.123613,0.086385
1.880000,-0.069241,0.088312
1.885000,0.007555,0.086631
1.890000,0.076521,0.077543
1.895000,0.102406,0.079136
1.900000,0.106459,0.055341
1.905000,0.095303,0.001413
1.910000,0.103304,-0.002354
1.915000,0.097151,-0.007542
1.920000,0.083909,-0.013051
1.925000,0.112738,-0.026331
1.930000,0.162083,-0.060948
1.935000,0.186514,-0.047717
1.940000,0.167840,-0.024756
1.945000,0.158331,-0.010724
1.950000,0.180329,0.005745
1.955000,0.152735,0.006275
1.960000,0.200426,0.039651
1.965000,0.326426,0.076513
1.970000,0.324319,0.059243
1.975000,0.293580,0.091775
1.980000,0.229677,0.103551
1.985000,0.112837,0.032321
1.990000,0.044209,0.016338
1.995000,-0.001324,0.017206
2.000000,-0.021450,-0.006816
2.005000,0.012965,-0.009204
2.010000,0.037120,-0.019646
2.015000,0.078910,-0.021151
2.020000,0.086507,-0.002476
2.025000,-0.003793,0.010679
2.030000,-0.092625,0.011621
2.035000,-0.146855,-0.019635
2.040000,-0.211749,-0.017408
2.045000,-0.298345,0.041015
2.050000,-0.274795,0.044129
2.055000,-0.169099,0.003596
2.060000,-0.153295,0.016882
2.065000,-0.180620,0.030199
2.070000,-0.153015,0.003983
2.075000,-0.148338,-0.025610
2.080000,-0.237307,-0.013385
2.085000,-0.321994,0.013273
2.090000,-0.314981,0.009223
2.095000,-0.263965,-0.002694
2.100000,-0.249420,-0.003519
2.105000,-0.201856,-0.003197
2.110000,-0.112385,-0.013368
2.115000,-0.071744,-0.020558
2.120000,-0.066980,-0.014134
2.125000,-0.075416,0.005712
2.130000,-0.095661,-0.011121
2.135000,-0.092813,-0.033223
2.140000,-0.078230,-0.024171
2.145000,-0.059816,-0.011391
2.150000,0.014020,-0.015837
2.155000,0.106418,-0.027455
2.160000,0.167237,-0.017456
2.165000,0.188698,-0.014223
2.170000,0.187399,-0.027608
2.175000,0.196452,-0.037164
2.180000,0.177605,-0.041939
2.185000,0.144525,-0.034833
2.190000,0.150734,-0.012276
2.195000,0.194355,-0.014268
2.200000,0.255618,-0.026399
2.205000,0.294744,-0.012668
2.210000,0.305382,-0.011215
2.215000,0.321405,-0.026360
2.220000,0.315497,-0.040706
2.225000,0.257462,-0.031869
2.230000,0.199784,-0.014850
2.235000,0.181960,-0.025160
2.240000,0.187680,-0.032582
2.245000,0.181634,-0.038248
2.250000,0.182983,-0.043797
2.255000,0.207033,-0.031555
2.260000,0.209233,-0.019028
2.265000,0.166617,-0.006694
2.270000,0.116363,0.001418
2.275000,0.074214,0.008073
2.280000,0.016803,0.003960
2.285000,-0.024388,-0.013343
2.290000,-0.030639,-0.013838
2.295000,-0.034035,-0.009301
2.300000,-0.042324,0.001095
2.305000,-0.051551,0.010513
2.310000,-0.076606,-0.045506
2.315000,-0.100928,-0.109808
2.320000,-0.134361,-0.092968
2.325000,-0.250413,-0.077427
2.330000,-0.337130,-0.058208
2.335000,-0.320221,-0.058309
2.340000,-0.260853,-0.080601
2.345000,-0.194235,-0.066299
2.350000,-0.138993,-0.036346
2.355000,-0.107279,0.011257
2.360000,-0.097734,0.016457
2.365000,-0.125634,-0.006920
2.370000,-0.191674,0.013678
2.375000,-0.237560,0.014697
2.380000,-0.246801,-0.022524
2.385000,-0.201850,-0.012287
2.390000,-0.135314,0.003398
2.395000,-0.060710,0.006758
2.400000,0.020346,0.034266
2.405000,0.081573,0.033365
2.410000,0.075970,0.019334
2.415000,0.039640,0.001937
2.420000,0.007494,-0.037084
2.425000,0.008057,-0.028714
2.430000,0.019152,-0.019898
2.435000,0.042447,0.008495
2.440000,0.122690,0.032053
2.445000,0.212585,0.003281
2.450000,0.249644,-0.017766
2.455000,0.250635,-0.036704
2.460000,0.249797,-0.045238
2.465000,0.230385,-0.026248
2.470000,0.167607,0.005495
2.475000,0.105097,0.007741
2.480000,0.137148,-0.009745
2.485000,0.192149,-0.010658
2.490000,0.192710,0.004510
2.495000,0.200776,-0.017362
2.534353,0.248506,-0.054637
2.539353,0.235327,-0.047634
2.544353,0.144907,-0.028434
2.549353,0.075438,-0.020326
2.554353,0.044240,-0.013973
2.559353,-0.000277,0.005397
2.564353,-0.032656,0.018840
2.569353,-0.004685,0.016019
2.574353,0.037941,0.012710
2.579353,0.042960,0.013721
2.584353,0.017870,0.031050
2.589353,-0.027977,0.053851
2.594353,-0.087216,0.065151
2.599353,-0.136094,0.065401
2.604353,-0.181980,0.063509
2.609353,-0.231450,0.091814
2.614353,-0.229467,0.109818
2.619353,-0.175641,0.075586
2.624353,-0.133139,0.059843
2.629353,-0.139321,0.076956
2.634353,-0.161019,0.074496
2.639353,-0.184061,0.074302
2.644353,-0.244279,0.081531
2.649353,-0.302585,0.069702
2.654353,-0.318595,0.045549
2.659353,-0.290021,0.028753
2.664353,-0.250180,0.025654
2.669353,-0.211506,0.031480
2.674353,-0.154210,0.043028
2.679353,-0.120418,0.040966
2.684353,-0.133562,0.045020
2.689353,-0.160907,0.051513
2.694353,-0.167497,0.044448
2.699353,-0.163482,0.046269
2.704353,-0.154787,0.055841
2.709353,-0.108133,0.062240
2.714353,-0.032719,0.059876
2.719353,0.039453,0.054384
2.724353,0.085691,0.058335
2.729353,0.105339,0.074016
2.734353,0.107002,0.079329
2.739353,0.104229,0.086780
2.744353,0.114791,0.084101
2.749353,0.090530,0.064516
2.754353,0.086857,0.043457
2.759353,0.151582,-0.001491
2.764353,0.203022,-0.027670
2.769353,0.193224,-0.019186
2.774353,0.161736,0.002981
2.779353,0.194155,0.108669
2.784353,0.209406,0.218611
2.789353,0.207775,0.204713
2.794353,0.318137,0.149977
2.799353,0.355403,0.074051
2.804353,0.286465,0.021615
2.809353,0.246693,0.038246
