Time (s),A-output,B-output
0.000000,-0.045053,0.041888
0.005000,-0.025821,0.048364
0.010000,-0.014080,0.037289
0.015000,-0.014714,0.052089
0.020000,-0.009358,0.057947
0.025000,0.005282,0.068292
0.030000,0.016834,0.070004
0.035000,0.018018,0.063545
0.040000,0.014617,0.066605
0.045000,0.016799,0.057026
0.050000,0.022729,0.058844
0.055000,0.030254,0.062916
0.060000,0.031748,0.062077
0.065000,0.020844,0.045942
0.070000,0.013728,0.028724
0.075000,0.012281,0.034663
0.080000,0.001020,0.034219
0.085000,-0.011226,0.040380
0.090000,-0.029205,0.052058
0.095000,-0.043879,0.057411
0.100000,-0.036979,0.060201
0.105000,-0.036200,0.058431
0.110000,-0.050117,0.065658
0.115000,-0.061528,0.066514
0.120000,-0.067279,0.055682
0.125000,-0.077503,0.039915
0.130000,-0.089031,0.028209
0.135000,-0.088154,0.031371
0.140000,-0.084323,0.017965
0.145000,-0.079085,-0.004673
0.150000,-0.070916,-0.005170
0.155000,-0.065360,-0.004005
0.160000,-0.049005,-0.002692
0.165000,-0.028615,-0.000423
0.170000,-0.015887,0.002117
0.175000,-0.000258,0.000957
0.180000,0.019949,0.030840
0.185000,0.053249,0.068315
0.190000,0.099284,0.051604
0.195000,0.112612,0.041467
0.200000,0.069694,0.044344
0.205000,0.026242,0.050792
0.210000,0.020105,0.053078
0.215000,0.014694,0.021207
0.220000,0.007905,0.006631
0.225000,-0.011814,0.024180
0.230000,-0.057650,0.025127
0.235000,-0.066302,0.010608
0.240000,-0.044477,0.004548
0.245000,-0.051506,0.002745
0.250000,-0.095953,-0.011882
0.255000,-0.132872,-0.022287
0.260000,-0.136941,-0.014700
0.265000,-0.112636,-0.009369
0.270000,-0.080449,-0.009688
0.275000,-0.084885,-0.025737
0.280000,-0.108720,-0.029908
0.285000,-0.106885,0.002089
0.290000,-0.086868,0.013376
0.295000,-0.069618,0.001660
0.300000,-0.059781,0.004977
0.305000,-0.052205,0.005940
0.310000,-0.033113,0.001716
0.315000,-0.000264,0.005645
0.320000,0.025913,-0.004771
0.325000,0.025996,-0.018839
0.330000,0.032229,-0.004402
0.335000,0.054057,-0.006832
0.340000,0.058629,-0.038866
0.345000,0.079329,-0.030003
