Time (s),A-output,B-output
0,-0.034899,-0.058427
0.005,-0.03547,-0.052313
0.01,-0.042759,-0.054148
0.015,-0.043646,-0.068043
0.02,-0.040396,-0.058677
0.025,-0.027902,-0.050418
0.03,-0.004893,-0.056958
0.035,0.001014,-0.057994
0.04,0.00971,-0.052752
0.045,0.028395,-0.035823
0.05,0.036788,-0.030425
0.055,0.048077,-0.035704
0.06,0.063523,-0.036194
0.065,0.064178,-0.041582
0.07,0.061343,-0.043811
0.075,0.075792,-0.031944
0.08,0.085091,-0.023692
0.085,0.079512,-0.022895
0.09,0.079377,-0.011568
0.095,0.083529,-0.00886
0.1,0.080926,-0.012719
0.105,0.07857,-0.003768
0.11,0.078307,-0.000957
0.115,0.068206,0.004315
0.12,0.048641,-0.005901
0.125,0.037453,-0.015254
0.13,0.033939,-0.015085
0.135,0.014142,-0.050315
0.14,-0.01255,-0.122755
0.145,-0.050087,-0.154672
0.15,-0.100806,-0.105373
0.155,-0.099493,-0.073771
0.16,-0.039505,-0.066248
0.165,-0.005054,-0.065487
0.17,0.008097,-0.062716
0.175,0.021642,-0.037242
0.18,0.005086,-0.030854
0.185,0.026611,-0.017887
0.19,0.065785,0.003865
0.195,0.038561,0.00269
0.2,0.004629,0.019709
0.205,0.010159,0.015246
0.21,0.049725,0.023521
0.215,0.094809,0.065714
0.22,0.104615,0.035876
0.225,0.073261,0.013635
0.23,0.048892,0.004137
0.235,0.068117,-0.007428
0.24,0.092551,-0.008701
0.245,0.0929,-0.03111
0.25,0.076294,0.010783
0.255,0.06993,0.03501
0.26,0.076842,0.018653
0.265,0.072362,0.013335
0.27,0.058343,0.009269
0.275,0.022655,0.038726
0.28,-0.000405,0.023949
0.285,0.016205,-0.008333
0.29,0.017607,-0.013165
0.295,0.006295,-0.012392
0.3,-0.0141,0.003901
0.305,-0.036601,-0.010955
0.31,-0.048866,0.004069
0.315,-0.057268,0.050809
0.32,-0.061963,0.035556
0.325,-0.075527,0.012547
0.33,-0.08836,0.00412
0.335,-0.084397,0.019249
0.34,-0.073152,0.016171
0.345,-0.084257,-0.005735
0.35,-0.093837,0.023582
0.355,-0.074401,0.033355
0.36,-0.061231,0.028697
0.365,-0.060676,0.043756
0.37,-0.040501,0.044642
0.375,-0.026715,0.054419
0.38,-0.029565,0.053497
0.385,-0.020359,0.048532
0.39,-0.009418,0.072024
0.395,0.001752,0.068022
0.4,0.007414,0.041398
0.405,0.010686,0.030734
0.41,0.017416,0.036741
0.415,0.016501,0.058861
0.42,0.021838,0.065163
0.425,0.026878,0.045273
0.43,0.020156,0.037639
0.435,0.013433,0.052115
0.44,0.003671,0.055365
0.445,0.001862,0.045826
0.45,0.0044,0.036781
0.455,-0.012658,0.03104
0.46,-0.022284,0.036388
0.465,-0.026132,0.046238
0.47,-0.034118,0.043961
0.475,-0.035485,0.05299
0.48,-0.042257,0.05457
0.485,-0.053352,0.039354
0.49,-0.067341,0.035522
0.495,-0.078685,0.034079
0.5,-0.077858,0.029776
0.505,-0.079384,0.010753
0.51,-0.08241,-0.004609
0.515,-0.079766,0.001649
0.52,-0.06899,0.005892
0.525,-0.043481,-0.002916
0.53,-0.027999,-0.008095
0.535,-0.01754,-0.008995
0.54,0.002915,0.025121
0.545,0.027453,0.077228
0.55,0.061034,0.097868
0.555,0.090559,0.088473
0.56,0.065696,0.076203
0.565,0.020717,0.046376
0.57,0.02119,0.03387
0.575,0.030721,0.038248
0.58,0.023163,0.014076
0.585,-0.006157,0.005861
0.59,-0.064873,0.0067
0.595,-0.088572,0.016404
0.6,-0.05458,0.031111
0.605,-0.036551,0.031679
0.61,-0.063984,0.019039
0.615,-0.106478,-0.003079
0.62,-0.136016,-0.01718
0.625,-0.131588,-0.011125
0.63,-0.090649,0.003389
0.635,-0.076943,-0.004762
0.64,-0.09935,-0.011408
0.645,-0.102818,0.010345
0.65,-0.087202,0.012209
0.655,-0.064947,-0.005985
0.66,-0.049093,-0.01156
0.665,-0.045105,-0.011685
0.67,-0.040035,-0.014597
0.675,-0.01117,-0.011221
0.68,0.02082,-0.007546
0.685,0.028686,-0.007622
0.69,0.038113,-0.021513
0.695,0.046792,-0.035905
0.7,0.040617,-0.051568
0.705,0.060473,-0.043152
0.71,0.097552,-0.030572
0.715,0.096175,-0.056247
0.72,0.086557,-0.055018
0.725,0.090411,-0.039029
0.73,0.088752,-0.04405
0.735,0.075572,-0.061798
0.74,0.060518,-0.061512
0.745,0.057422,-0.029672
0.75,0.053205,-0.019642
0.755,0.042402,-0.038264
0.76,0.034031,-0.036546
0.765,0.022448,-0.038556
0.77,-0.002512,-0.046466
0.775,-0.01412,-0.04805
0.78,-0.013329,-0.051641
0.785,-0.023362,-0.051737
0.79,-0.02839,-0.038592
0.795,-0.03111,-0.039704
0.8,-0.033986,-0.053509
0.805,-0.03754,-0.050745
0.81,-0.045976,-0.042846
0.815,-0.044544,-0.04891
0.82,-0.034506,-0.05074
0.825,-0.023725,-0.045339
0.83,-0.008163,-0.04947
0.835,-0.002088,-0.0455
0.84,0.000643,-0.040408
0.845,0.020299,-0.035599
0.85,0.031743,-0.03093
0.855,0.032551,-0.02927
0.86,0.048725,-0.022972
0.865,0.057216,-0.022468
0.87,0.057515,-0.036667
0.875,0.079562,-0.046491
0.88,0.091317,-0.042283
0.885,0.078601,-0.025018
0.89,0.079743,-0.020235
0.895,0.089322,-0.02675
0.9,0.085996,-0.014944
0.905,0.083038,-0.004413
0.91,0.084244,-0.008451
0.915,0.074182,-0.00243
0.92,0.057863,-0.001331
0.925,0.044041,-0.007504
0.93,0.036122,0.001279
0.935,0.019486,0.001874
0.94,-0.005119,-0.025874
0.945,-0.037707,-0.035209
0.95,-0.084122,-0.006972
0.955,-0.098873,0.024805
0.96,-0.047339,0.038388
0.965,-0.009521,0.043761
0.97,-0.009417,0.025301
0.975,0.000332,0.007822
0.98,-0.004776,0.029167
0.985,0.01002,0.025513
0.99,0.056235,0.010012
0.995,0.051533,0.006988
1,0.023422,0.016496
1.005,0.025745,0.02497
1.01,0.052375,0.004893
1.015,0.090009,0.018363
1.02,0.105576,0.036945
1.025,0.083802,0.034174
1.03,0.05306,0.047419
1.035,0.057688,0.039827
1.04,0.076836,0.025231
1.045,0.086516,-0.005928
1.05,0.075512,-0.010156
1.055,0.059001,0.009853
1.06,0.062208,-0.004777
1.065,0.068847,-0.004534
1.07,0.062865,-0.019469
1.075,0.025349,0.004674
1.08,-0.002621,0.026658
1.085,0.010801,0.01887
1.09,0.009743,0.042455
1.095,0.000219,0.029518
1.1,-0.006582,0.018895
1.105,-0.028244,-0.003345
1.11,-0.046984,-0.017288
1.115,-0.061489,0.015541
1.12,-0.071089,0.033794
1.125,-0.084008,0.036096
1.13,-0.093708,0.032326
1.135,-0.085014,0.026825
1.14,-0.078109,0.019853
1.145,-0.085965,0.00523
1.15,-0.095972,0.018003
1.155,-0.085908,0.026555
1.16,-0.067311,0.002993
1.165,-0.058653,0.016933
1.17,-0.044786,0.025558
1.175,-0.030781,0.016777
1.18,-0.026882,0.03355
1.185,-0.015166,0.051306
1.19,-0.000701,0.072844
1.195,0.007118,0.077612
1.2,0.011537,0.078755
1.205,0.015669,0.070883
1.21,0.020189,0.044975
1.215,0.018476,0.049487
1.22,0.023937,0.064133
1.225,0.026729,0.042432
1.23,0.021626,0.022328
1.235,0.015656,0.03764
1.24,0.004884,0.044733
1.245,0.011011,0.038926
1.25,0.005626,0.044289
1.255,-0.016076,0.050744
1.26,-0.020163,0.044857
1.265,-0.03318,0.035003
1.27,-0.042852,0.042837
1.275,-0.036909,0.054635
1.28,-0.047059,0.044177
