Time (s),A-output,B-output
0.000000,-0.137159,-0.001791
0.005000,-0.109873,0.022229
0.010000,-0.054557,-0.008994
0.015000,-0.068105,-0.043641
0.020000,-0.079055,-0.072470
0.025000,-0.046009,-0.064464
0.030000,0.008353,-0.081442
0.035000,0.067904,-0.077853
0.040000,0.069941,-0.047096
0.045000,0.076074,-0.059860
0.050000,0.056936,-0.076972
0.055000,0.063010,-0.102939
0.060000,0.123142,-0.103936
0.065000,0.127006,-0.080500
0.070000,0.143768,-0.059913
0.075000,0.174733,-0.058484
0.080000,0.193189,-0.063341
0.085000,0.212247,-0.064418
0.090000,0.208999,-0.077823
0.095000,0.207903,-0.071702
0.100000,0.199951,-0.052381
0.105000,0.199045,-0.062006
0.110000,0.195416,-0.078245
0.115000,0.174832,-0.041584
0.120000,0.175005,0.009779
0.125000,0.179654,-0.008405
0.130000,0.151735,-0.054895
0.135000,0.094611,-0.105730
0.140000,0.042446,-0.069377
0.145000,-0.020574,0.033155
0.150000,-0.075593,0.043329
0.155000,-0.033289,0.077436
0.160000,0.001543,0.091611
0.165000,-0.041218,-0.013156
0.170000,-0.033941,-0.047705
0.175000,-0.017385,0.002736
0.180000,-0.026188,0.069417
0.185000,0.017192,0.105786
0.190000,0.007591,0.044160
0.195000,-0.068413,-0.040343
0.200000,-0.075220,-0.129202
0.205000,-0.007437,-0.148833
0.210000,0.085772,-0.033195
0.215000,0.098663,0.090636
0.220000,0.066802,0.122836
0.225000,0.052689,0.017763
0.230000,0.042356,-0.129826
0.235000,0.086014,-0.128968
0.240000,0.080522,-0.014520
0.245000,0.045790,0.057696
0.250000,0.037356,0.092268
0.255000,0.037584,0.126206
0.260000,0.090112,0.102051
0.265000,0.088887,0.007180
0.270000,0.055135,-0.034971
0.275000,0.005916,-0.003500
0.280000,-0.038075,0.043906
0.285000,-0.026246,0.110570
0.290000,-0.035832,0.099417
0.295000,-0.023849,0.050029
0.300000,-0.051912,0.036748
0.305000,-0.099655,0.029549
0.310000,-0.092135,0.077025
0.315000,-0.134899,0.098361
0.320000,-0.161353,0.089154
0.325000,-0.161204,0.110617
0.330000,-0.186198,0.094871
0.335000,-0.187725,0.052760
0.340000,-0.184852,0.043826
0.345000,-0.187308,0.075722
0.350000,-0.191734,0.064922
0.355000,-0.195114,-0.005138
0.360000,-0.199640,-0.027173
0.365000,-0.197422,0.017502
0.370000,-0.176695,0.038512
0.375000,-0.152301,-0.007239
0.380000,-0.100225,0.000979
0.385000,-0.029396,0.075967
0.390000,0.044139,0.073213
0.395000,0.107829,0.054786
0.400000,0.069020,0.100181
0.405000,0.014792,0.109182
0.410000,0.032283,0.100639
0.415000,-0.000946,0.067101
0.420000,0.001915,-0.000453
0.425000,0.047685,-0.006717
0.430000,-0.012065,-0.000835
0.435000,-0.027216,0.016235
0.440000,0.031788,0.038682
0.445000,0.025776,0.046302
0.450000,-0.053187,0.032559
0.455000,-0.144544,-0.030343
0.460000,-0.159080,-0.036554
0.465000,-0.145394,0.009186
0.470000,-0.103998,-0.020850
0.475000,-0.059890,-0.017378
0.480000,-0.064364,-0.024817
0.485000,-0.068702,-0.070505
0.490000,-0.082603,-0.057301
0.495000,-0.065086,-0.060973
0.500000,-0.075804,-0.026142
0.505000,-0.103200,0.005536
0.510000,-0.061942,0.007170
0.515000,0.000615,-0.030128
0.520000,0.056092,-0.087948
0.525000,0.041716,-0.064420
0.530000,0.033998,-0.039142
0.535000,0.048522,-0.046632
0.540000,0.048305,-0.069718
0.545000,0.109953,-0.086132
0.550000,0.126757,-0.086056
0.555000,0.129729,-0.103487
0.560000,0.166053,-0.102510
0.565000,0.167996,-0.085991
0.570000,0.182119,-0.082372
0.575000,0.198099,-0.090106
0.580000,0.202390,-0.099597
0.585000,0.196635,-0.094215
0.590000,0.189014,-0.070244
0.595000,0.188500,-0.061384
0.600000,0.188636,-0.069211
0.605000,0.203052,-0.051349
0.610000,0.197349,-0.010848
0.615000,0.166294,0.003461
0.620000,0.114306,-0.137810
0.625000,0.054681,-0.310518
0.630000,0.003842,-0.276163
0.635000,-0.062674,-0.191620
0.640000,-0.040445,-0.189410
0.645000,0.040934,-0.141613
0.650000,0.035753,-0.075425
0.655000,0.027272,-0.065701
0.660000,0.034023,-0.100791
0.665000,-0.008878,-0.160765
0.670000,0.003261,-0.131947
0.675000,0.037136,-0.044377
0.680000,-0.012088,0.018752
0.685000,-0.034718,0.038520
0.690000,0.002414,-0.022510
0.695000,0.064634,-0.088503
0.700000,0.101154,-0.134478
0.705000,0.058653,-0.084292
0.710000,0.004469,0.072661
0.715000,-0.037758,0.133621
0.720000,0.007112,0.092164
0.725000,0.086828,-0.025225
0.730000,0.085033,-0.098595
0.735000,0.070587,-0.044547
0.740000,0.043534,0.017122
0.745000,0.056524,0.046766
0.750000,0.069449,0.091488
0.755000,0.037426,0.128152
0.760000,0.015431,0.072351
0.765000,-0.006173,-0.025633
0.770000,0.009273,-0.020637
0.775000,-0.011019,0.060553
0.780000,-0.038440,0.083255
0.785000,-0.054819,0.105609
0.790000,-0.109513,0.117387
0.795000,-0.099088,0.098542
0.800000,-0.105103,0.087268
0.805000,-0.144198,0.068037
0.810000,-0.151614,0.062987
0.815000,-0.173246,0.078723
0.820000,-0.181713,0.098976
0.825000,-0.182667,0.091564
0.830000,-0.183276,0.064734
0.835000,-0.181863,0.073266
0.840000,-0.182907,0.088414
0.845000,-0.186201,0.057217
0.850000,-0.198921,0.011981
0.855000,-0.184374,0.010929
0.860000,-0.155344,0.043289
0.865000,-0.114754,0.111129
0.870000,-0.053702,0.234688
0.875000,0.016090,0.260157
0.880000,0.103131,0.166805
0.885000,0.092607,0.114969
0.890000,0.007112,0.044196
