Time (s),A-output,B-output
0.000000,0.308620,0.073247
0.005000,0.181499,0.059169
0.010000,0.097777,0.043228
0.015000,0.177175,0.052670
0.020000,0.191072,0.016919
0.025000,0.120675,-0.025760
0.030000,0.142290,-0.055645
0.035000,0.207734,-0.097879
0.040000,0.217771,-0.135202
0.045000,0.194701,-0.172310
0.050000,0.184550,-0.195141
0.055000,0.206587,-0.193879
0.060000,0.172451,-0.187128
0.065000,0.133293,-0.159991
0.070000,0.172005,-0.116918
0.075000,0.157417,-0.069064
0.080000,0.135460,0.040399
0.085000,0.133888,0.137009
0.090000,0.109829,0.195349
0.095000,0.106746,0.256682
0.100000,0.066704,0.240916
0.105000,0.023121,0.222879
0.110000,0.020856,0.254642
0.115000,-0.020711,0.249821
0.120000,-0.034637,0.228568
0.125000,-0.012083,0.210542
0.130000,-0.021581,0.180901
0.135000,-0.020132,0.163104
0.140000,-0.060301,0.093488
0.145000,-0.078698,0.026377
0.150000,-0.086517,0.023492
0.155000,-0.167018,0.013014
0.160000,-0.202403,-0.013539
0.165000,-0.182636,-0.014546
0.170000,-0.208217,-0.007655
0.175000,-0.237234,-0.044542
0.180000,-0.229400,-0.094333
0.185000,-0.203561,-0.121130
0.190000,-0.232343,-0.134717
0.195000,-0.309768,-0.107936
0.200000,-0.321439,-0.092498
0.205000,-0.309279,-0.105168
0.210000,-0.340755,-0.108153
0.215000,-0.342377,-0.116856
0.220000,-0.288958,-0.127384
0.225000,-0.229025,-0.095439
0.230000,-0.200504,-0.054087
0.235000,-0.169771,-0.053033
0.240000,-0.141026,-0.061990
0.245000,-0.135493,-0.053916
0.250000,-0.128830,-0.036620
0.255000,-0.119472,-0.028759
0.260000,-0.092865,-0.055681
0.265000,-0.019932,-0.099331
0.270000,0.030027,-0.120550
0.275000,0.038239,-0.122850
0.280000,0.027907,-0.102684
0.285000,-0.030875,0.066705
0.290000,-0.142236,0.265034
0.295000,-0.045996,0.249324
0.300000,0.251338,0.153649
0.305000,0.364770,0.141338
0.310000,0.297392,0.143537
0.315000,0.253968,0.102179
0.320000,0.204360,0.049180
0.325000,0.086491,0.022293
0.330000,-0.036569,0.077904
0.335000,-0.075652,0.102126
0.340000,0.010697,0.059545
0.345000,0.148968,0.077381
0.350000,0.260783,0.133365
0.355000,0.268713,0.132604
0.360000,0.249055,0.129031
0.365000,0.170576,0.133362
0.370000,0.024575,0.082734
