Time (s),A-output,B-output
0.000000,0.240908,-0.050497
0.005000,0.114967,-0.092633
0.010000,-0.010143,-0.099337
0.015000,-0.113475,-0.078472
0.020000,-0.109967,-0.079267
0.025000,-0.048866,-0.051634
0.030000,0.038941,-0.038138
0.035000,0.171559,-0.046110
0.040000,0.248257,-0.060342
0.045000,0.250566,-0.068364
0.050000,0.174964,-0.062186
0.055000,0.072016,-0.079402
0.060000,-0.004611,-0.087422
0.065000,-0.072820,-0.086751
0.070000,-0.094049,-0.094435
0.075000,-0.005574,-0.070182
0.080000,0.131145,-0.041362
0.085000,0.223223,-0.024424
0.090000,0.277583,-0.009508
0.095000,0.283586,-0.023231
0.100000,0.205407,-0.094318
0.105000,0.120700,-0.078650
0.110000,0.006100,0.012033
0.115000,-0.220679,-0.028718
0.120000,-0.311632,-0.065231
0.125000,-0.145319,-0.062938
0.130000,0.047233,-0.099943
0.135000,0.178241,-0.048451
0.140000,0.299925,0.023926
0.145000,0.331087,0.066008
0.150000,0.182667,0.079280
0.155000,-0.041197,0.022507
0.160000,-0.167352,-0.054051
0.165000,-0.197390,-0.157356
0.170000,-0.172493,-0.108475
0.175000,-0.037439,0.095056
0.180000,0.083308,0.229494
0.185000,0.201948,0.264244
0.190000,0.296186,0.130605
0.195000,0.299769,-0.050437
0.200000,0.216167,-0.150714
0.205000,0.025255,-0.156063
0.210000,-0.084441,-0.026998
0.215000,-0.154524,0.122368
0.220000,-0.179988,0.256102
0.225000,-0.042095,0.300404
0.230000,0.151671,0.160952
0.235000,0.266412,0.009350
0.240000,0.205381,-0.073555
0.245000,0.120323,-0.095088
0.250000,0.043524,-0.024569
0.255000,-0.135199,0.050965
0.260000,-0.257644,0.100955
0.265000,-0.257040,0.136741
0.270000,-0.203240,0.075054
0.275000,-0.098921,-0.016213
0.280000,-0.005623,-0.028066
0.285000,0.034353,0.034618
0.290000,-0.016191,0.115081
0.295000,-0.137774,0.128711
0.300000,-0.241576,0.106213
0.305000,-0.365394,0.083809
0.310000,-0.433741,0.070416
0.315000,-0.379001,0.066327
0.320000,-0.271225,0.062369
0.325000,-0.182799,0.043995
0.330000,-0.119671,0.033502
0.335000,-0.068560,0.040835
0.340000,-0.091675,0.043454
0.345000,-0.206085,0.075241
0.350000,-0.293378,0.062166
0.355000,-0.285209,-0.012487
0.360000,-0.301986,-0.066859
0.365000,-0.321283,-0.039030
0.370000,-0.309372,0.076131
0.375000,-0.320531,0.219417
0.380000,-0.162921,0.235702
0.385000,0.144732,0.136419
0.390000,0.244325,0.122627
0.395000,0.100193,0.160579
0.400000,-0.026057,0.158864
0.405000,-0.131340,0.055555
0.410000,-0.235268,-0.061221
0.415000,-0.299530,-0.032225
0.420000,-0.301403,-0.021753
0.425000,-0.083051,-0.005391
0.430000,0.166463,0.098019
0.435000,0.264794,0.059356
0.440000,0.277512,0.024820
0.445000,0.199136,0.016794
0.450000,0.096271,-0.051273
0.455000,-0.041386,-0.025368
0.460000,-0.166087,-0.015881
0.465000,-0.169331,-0.012633
