Time (s),A-output,B-output
0.000000,-0.187297,0.010362
0.005000,-0.128585,0.008232
0.010000,-0.106812,0.045543
0.015000,-0.076830,0.039354
0.020000,-0.015293,0.030205
0.025000,0.004973,0.002517
0.030000,0.002996,-0.017739
0.035000,0.004136,0.008825
0.040000,0.055412,-0.034587
0.045000,0.100318,-0.068043
0.050000,0.109317,-0.034525
0.055000,0.154123,-0.018417
0.060000,0.173730,-0.032468
0.065000,0.175199,-0.057409
0.070000,0.203096,-0.082409
0.075000,0.207608,-0.074683
0.080000,0.202010,-0.052099
0.085000,0.224555,-0.063950
0.090000,0.267950,-0.077843
0.095000,0.260657,-0.085745
0.100000,0.221662,-0.079854
0.105000,0.195524,-0.081191
0.110000,0.162000,-0.088787
0.115000,0.150452,-0.067837
0.120000,0.150224,-0.029638
0.125000,0.135130,-0.003644
0.130000,0.119728,0.011980
0.135000,0.087900,0.003568
0.140000,0.037045,-0.083389
0.145000,-0.050576,-0.099655
0.150000,-0.160143,-0.017753
0.155000,-0.189461,-0.007279
0.160000,-0.111473,0.004681
0.165000,-0.052404,0.027414
0.170000,-0.040985,-0.011867
0.175000,-0.024094,-0.055502
0.180000,-0.045747,-0.109104
0.185000,-0.051048,-0.140472
0.190000,0.010236,-0.152596
0.195000,0.028632,-0.147389
0.200000,0.002331,-0.054006
0.205000,0.035729,0.050824
0.210000,0.102916,0.091651
0.215000,0.143483,0.100553
0.220000,0.134768,0.083412
0.225000,0.075585,-0.015854
0.230000,0.047637,-0.119672
0.235000,0.061139,-0.184980
0.240000,0.094153,-0.192636
0.245000,0.122314,-0.130715
0.250000,0.090307,-0.051763
0.255000,0.095396,0.063326
0.260000,0.099448,0.129606
0.265000,0.078668,0.130582
0.270000,0.088305,0.137058
0.275000,0.051745,0.133129
0.280000,0.053620,0.112273
0.285000,0.070269,0.076829
0.290000,0.055086,0.048696
0.295000,0.039120,0.031439
0.300000,-0.023460,-0.025349
0.305000,-0.061233,-0.071998
0.310000,-0.112682,-0.043561
0.315000,-0.175047,-0.021309
0.320000,-0.161448,-0.018203
0.325000,-0.178090,-0.005091
0.330000,-0.202671,0.002701
0.335000,-0.188163,0.015884
0.340000,-0.191516,0.019993
0.345000,-0.203708,0.049239
0.350000,-0.225200,0.077172
0.355000,-0.204740,0.071870
0.360000,-0.195633,0.071095
0.365000,-0.207128,0.063282
0.370000,-0.175149,0.052931
0.375000,-0.172078,0.026718
0.380000,-0.171320,0.022526
0.385000,-0.148530,0.029117
0.390000,-0.124992,0.022744
0.395000,-0.075829,0.042330
0.400000,-0.011782,0.086768
0.405000,0.090036,0.080711
0.410000,0.189385,0.015192
0.415000,0.184146,0.014292
0.420000,0.095027,0.040211
0.425000,0.052109,0.030819
0.430000,0.053136,0.068128
0.435000,0.017871,0.086203
0.440000,0.028153,0.053777
0.445000,0.049785,0.017845
0.450000,-0.006993,-0.026630
0.455000,-0.000015,-0.009996
0.460000,0.033498,0.018849
0.465000,-0.027136,-0.008890
0.470000,-0.092377,0.022265
0.475000,-0.151997,0.066234
0.480000,-0.174616,0.082474
0.485000,-0.128894,0.118774
0.490000,-0.093153,0.046361
0.495000,-0.089571,-0.002676
0.500000,-0.152022,0.041484
0.505000,-0.200248,0.010021
0.510000,-0.186586,-0.024854
0.515000,-0.166166,-0.038004
0.520000,-0.113257,-0.049859
0.525000,-0.101851,-0.020790
0.530000,-0.088104,-0.026665
0.535000,-0.024763,-0.010037
0.540000,-0.001970,-0.018122
0.545000,-0.003514,-0.047436
0.550000,-0.000637,0.009899
0.555000,0.047236,0.005026
0.560000,0.102201,-0.033013
0.565000,0.116088,-0.038516
0.570000,0.160982,-0.067877
0.575000,0.186028,-0.085717
0.580000,0.175343,-0.105161
0.585000,0.195265,-0.109226
0.590000,0.203460,-0.073542
0.595000,0.202708,-0.064779
0.600000,0.228821,-0.066619
0.605000,0.252686,-0.059301
0.610000,0.242039,-0.055685
0.615000,0.214705,-0.067198
0.620000,0.188188,-0.095924
0.625000,0.163881,-0.104780
0.630000,0.148890,-0.073902
0.635000,0.137657,-0.031470
0.640000,0.131368,-0.007167
0.645000,0.128618,-0.004811
0.650000,0.093119,-0.021498
0.655000,0.032609,-0.078675
0.660000,-0.047284,-0.095080
0.665000,-0.143396,-0.013955
0.670000,-0.185507,0.024164
0.675000,-0.115113,0.041415
0.680000,-0.047415,0.093605
0.685000,-0.044934,0.118187
0.690000,-0.030413,0.115895
0.695000,-0.052655,0.058756
0.700000,-0.081108,-0.041431
0.705000,-0.039896,-0.120585
0.710000,-0.018352,-0.180659
0.715000,-0.035803,-0.139860
0.720000,0.006840,-0.043691
0.725000,0.094703,0.005879
0.730000,0.157608,0.083429
0.735000,0.154577,0.125337
0.740000,0.095238,0.090885
0.745000,0.073390,0.031601
0.750000,0.090006,-0.050087
0.755000,0.118715,-0.113485
0.760000,0.157383,-0.127208
0.765000,0.127552,-0.132322
0.770000,0.111468,-0.095826
0.775000,0.109383,-0.034517
0.780000,0.072403,0.015869
0.785000,0.069988,0.063239
0.790000,0.027738,0.072438
0.795000,0.010193,0.098694
0.800000,0.035770,0.150354
0.805000,0.032187,0.156055
0.810000,0.041017,0.135047
0.815000,0.005184,0.100182
0.820000,-0.038465,0.053227
0.825000,-0.084587,0.019343
0.830000,-0.150918,-0.026472
0.835000,-0.150036,-0.036942
0.840000,-0.166860,0.023537
0.845000,-0.209000,0.052486
0.850000,-0.201234,0.059594
0.855000,-0.201099,0.091878
0.860000,-0.218281,0.112004
0.865000,-0.227751,0.109763
0.870000,-0.220049,0.081129
0.875000,-0.208227,0.070736
0.880000,-0.198121,0.056303
0.885000,-0.179538,0.036918
0.890000,-0.168953,0.039820
0.895000,-0.151144,0.045795
0.900000,-0.134421,0.045332
0.905000,-0.122682,0.027148
0.910000,-0.071501,0.037447
0.915000,0.000563,0.087972
0.920000,0.085804,0.067905
0.925000,0.171940,-0.003460
0.930000,0.172946,0.004069
0.935000,0.087821,0.034158
0.940000,0.052317,0.048415
0.945000,0.063245,0.103549
0.950000,0.029311,0.110266
0.955000,0.029367,0.075063
0.960000,0.055439,0.071711
0.965000,0.003060,0.059931
0.970000,-0.006837,0.044318
0.975000,0.027446,0.033855
0.980000,-0.033580,-0.006300
0.985000,-0.104232,-0.011634
0.990000,-0.151149,0.022014
0.995000,-0.170916,0.053285
1.000000,-0.123295,0.082760
1.005000,-0.085148,0.039778
1.010000,-0.088103,0.028556
1.015000,-0.148595,0.099405
1.020000,-0.190792,0.064016
1.025000,-0.168674,-0.016001
1.030000,-0.160796,-0.026097
1.035000,-0.123832,-0.040727
1.040000,-0.106658,-0.057941
1.045000,-0.091675,-0.076175
1.050000,-0.026758,-0.028155
1.055000,-0.006212,0.001563
1.060000,-0.008543,-0.023047
1.065000,-0.002197,0.027290
1.070000,0.044912,0.010431
1.075000,0.103111,-0.028490
1.080000,0.112238,-0.022355
1.085000,0.157277,-0.066683
1.090000,0.194292,-0.103045
1.095000,0.183226,-0.116895
1.100000,0.195040,-0.123491
1.105000,0.195908,-0.111696
1.110000,0.193398,-0.083991
1.115000,0.215511,-0.058484
1.120000,0.247765,-0.055275
1.125000,0.246282,-0.059793
1.130000,0.203817,-0.078576
1.135000,0.178634,-0.102218
1.140000,0.159628,-0.083255
1.145000,0.139865,-0.033887
1.150000,0.140562,0.000996
1.155000,0.136383,-0.005120
1.160000,0.122881,-0.008158
1.165000,0.091622,-0.017305
1.170000,0.042700,-0.094195
1.175000,-0.023939,-0.142162
1.180000,-0.115402,-0.105174
1.185000,-0.171991,-0.056880
1.190000,-0.118003,-0.025486
1.195000,-0.046544,0.010661
1.200000,-0.037675,0.039408
1.205000,-0.027249,0.047797
1.210000,-0.051027,0.016203
1.215000,-0.090194,-0.033004
1.220000,-0.061882,-0.065127
1.225000,-0.038253,-0.116703
1.230000,-0.068824,-0.151578
1.235000,-0.043185,-0.149575
1.240000,0.059479,-0.100512
1.245000,0.138301,0.001010
1.250000,0.155563,0.069950
1.255000,0.116149,0.100354
1.260000,0.083636,0.102145
1.265000,0.093673,0.039568
1.270000,0.128452,-0.024526
1.275000,0.176103,-0.052781
1.280000,0.157618,-0.126754
1.285000,0.140575,-0.190374
1.290000,0.133411,-0.191943
1.295000,0.084707,-0.157909
1.300000,0.074797,-0.082163
1.305000,0.024886,-0.022806
1.310000,-0.010350,0.059354
1.315000,0.009395,0.134663
1.320000,0.005972,0.128481
1.325000,0.023403,0.121917
1.330000,-0.002003,0.096388
1.335000,-0.038930,0.023955
1.340000,-0.068363,-0.021714
1.345000,-0.135358,-0.056118
1.350000,-0.139258,-0.075236
1.355000,-0.145981,-0.044005
1.360000,-0.194620,-0.015113
1.365000,-0.200276,0.018175
1.370000,-0.204864,0.052337
1.375000,-0.220599,0.065334
1.380000,-0.229685,0.060663
1.385000,-0.216463,0.047753
1.390000,-0.204408,0.045487
1.395000,-0.204295,0.037814
1.400000,-0.179433,0.044225
1.405000,-0.168731,0.046240
1.410000,-0.162095,0.040094
1.415000,-0.144302,0.022444
1.420000,-0.132058,-0.001167
1.425000,-0.081033,0.017201
1.430000,-0.010808,0.060880
1.435000,0.069810,0.053655
1.440000,0.155775,-0.001434
1.445000,0.164388,-0.004948
1.450000,0.086870,0.026799
1.455000,0.051848,0.030872
1.460000,0.072793,0.083023
1.465000,0.052490,0.116152
1.470000,0.058037,0.085080
1.475000,0.084440,0.082997
1.480000,0.023109,0.077336
1.485000,-0.006112,0.072045
1.490000,0.022546,0.063737
1.495000,-0.027353,-0.011267
1.500000,-0.092803,-0.046814
1.505000,-0.139760,-0.013281
1.510000,-0.158965,-0.020333
1.515000,-0.113210,0.000458
1.520000,-0.089673,0.025384
1.525000,-0.101114,0.037797
1.530000,-0.150327,0.078320
1.535000,-0.187452,0.034156
1.540000,-0.163127,-0.009679
1.545000,-0.161858,-0.013656
1.550000,-0.141039,-0.057999
1.555000,-0.116821,-0.064465
1.560000,-0.099173,-0.093550
1.565000,-0.038572,-0.093925
1.570000,-0.017517,-0.048839
1.575000,-0.023005,-0.065707
1.580000,-0.007162,-0.038826
1.585000,0.045142,-0.027943
1.590000,0.101426,-0.051706
1.595000,0.105088,-0.041512
1.600000,0.140309,-0.060065
1.605000,0.185333,-0.082141
1.610000,0.181564,-0.090480
1.615000,0.198699,-0.091418
1.620000,0.208469,-0.065932
1.625000,0.201676,-0.061848
1.630000,0.217190,-0.074182
1.635000,0.246686,-0.071320
1.640000,0.251513,-0.070058
1.645000,0.214315,-0.079485
1.650000,0.186095,-0.076766
1.655000,0.166001,-0.048839
1.660000,0.147883,-0.010597
1.665000,0.149630,0.000366
1.670000,0.145890,-0.014052
1.675000,0.126611,-0.008265
1.680000,0.089756,0.006298
1.685000,0.045821,-0.023202
1.690000,-0.013965,-0.078000
1.695000,-0.102246,-0.064208
1.700000,-0.164209,-0.036469
1.705000,-0.124377,-0.046203
1.710000,-0.056328,-0.063879
1.715000,-0.043210,-0.052848
1.720000,-0.029858,-0.009466
1.725000,-0.050581,0.019157
1.730000,-0.096443,0.023755
1.735000,-0.070881,0.016784
1.740000,-0.043974,-0.047823
1.745000,-0.081674,-0.158530
