Time (s),A-output,B-output
0.000000,-0.136496,0.072864
0.005000,-0.118580,0.076093
0.010000,-0.098479,0.125148
0.015000,-0.073263,0.141930
0.020000,-0.038073,0.119099
0.025000,-0.030657,0.137756
0.030000,-0.048696,0.121464
0.035000,-0.060883,0.086791
0.040000,-0.067024,0.075390
0.045000,-0.068150,0.059863
0.050000,-0.076772,0.053945
0.055000,-0.067024,0.007811
0.060000,-0.057064,-0.050643
0.065000,-0.072235,-0.032529
0.070000,-0.093463,-0.027263
0.075000,-0.114804,-0.092257
0.080000,-0.105516,-0.087550
0.085000,-0.080848,-0.052323
0.090000,-0.057946,-0.062143
0.095000,-0.023182,-0.040537
0.100000,-0.005008,-0.046843
0.105000,-0.004324,-0.077668
0.110000,-0.005414,-0.041056
0.115000,-0.026065,-0.070197
0.120000,-0.040600,-0.095981
0.125000,-0.044293,-0.054722
0.130000,-0.066559,-0.087722
0.135000,-0.059898,-0.097080
0.140000,-0.032369,-0.093445
0.145000,-0.025657,-0.108523
0.150000,-0.011891,-0.066388
0.155000,-0.007793,-0.059088
0.160000,-0.005048,-0.073860
0.165000,0.014659,-0.047215
0.170000,0.020232,-0.047046
0.175000,0.031463,-0.020225
0.180000,0.054528,-0.001399
0.185000,0.060708,-0.013661
0.190000,0.069516,0.008602
0.195000,0.078248,0.012752
0.200000,0.076687,0.023200
0.205000,0.077678,0.015608
0.210000,0.077696,0.005317
0.215000,0.078705,0.020362
0.220000,0.097002,0.019593
0.225000,0.114859,0.006909
0.230000,0.123529,-0.003689
0.235000,0.139372,-0.001959
0.240000,0.143897,0.000473
0.245000,0.149480,0.005183
0.250000,0.161846,0.008860
0.255000,0.165127,0.019887
0.260000,0.167625,0.024616
0.265000,0.167497,0.007686
0.270000,0.164462,0.000295
0.275000,0.162533,0.012643
0.280000,0.152385,-0.003432
0.285000,0.134837,0.008750
0.290000,0.116018,0.092392
0.295000,0.092818,0.100074
0.300000,0.082341,0.069937
0.305000,0.086882,0.085612
0.310000,0.093304,0.084716
0.315000,0.084275,0.110187
0.320000,0.068062,0.105329
0.325000,0.066523,0.095219
0.330000,0.052032,0.141366
0.335000,0.036150,0.137393
0.340000,0.021709,0.120465
0.345000,0.030848,0.139955
0.350000,0.065698,0.135667
0.355000,0.078124,0.086474
0.360000,0.081591,0.053974
0.365000,0.077889,0.054239
0.370000,0.057635,0.033322
0.375000,0.031386,-0.014099
0.380000,0.004720,-0.041150
0.385000,-0.024848,-0.061257
0.390000,-0.027050,-0.073171
0.395000,-0.009125,-0.071526
0.400000,0.001966,-0.058229
0.405000,0.026335,-0.046539
0.410000,0.032711,-0.070335
0.415000,0.018143,-0.052183
0.420000,0.012323,-0.026657
0.425000,-0.011330,-0.031853
0.430000,-0.028952,-0.003114
